Group,Population,X,Y
174,131,4385.984081582865,2631.3514251187444
175,227,5035.520203142893,2631.3514251187444
176,191,5685.05632470292,2631.3514251187444
177,74,6984.128567822918,2631.3514251187444
178,40,7633.664689382946,2631.3514251187444
179,157,8283.200810942973,2631.3514251187444
180,444,8932.736932503001,2631.3514251187444
181,300,9582.27305406303,2631.3514251187444
182,708,10231.809175623057,2631.3514251187444
183,824,10881.345297183085,2631.3514251187444
184,813,11530.881418743113,2631.3514251187444
185,192,12180.41754030314,2631.3514251187444
186,102,12829.953661863052,2631.3514251187444
187,385,5035.520203142893,1981.8153035584837
188,497,5685.05632470292,1981.8153035584837
189,502,6334.59244626289,1981.8153035584837
190,558,6984.128567822918,1981.8153035584837
191,126,7633.664689382946,1981.8153035584837
192,430,8283.200810942973,1981.8153035584837
193,282,8932.736932503001,1981.8153035584837
194,289,9582.27305406303,1981.8153035584837
195,544,10231.809175623057,1981.8153035584837
196,798,10881.345297183085,1981.8153035584837
197,384,11530.881418743113,1981.8153035584837
198,28,12180.41754030314,1981.8153035584837
199,442,5035.520203142893,1332.279181998223
200,599,5685.05632470292,1332.279181998223
201,520,6334.59244626289,1332.279181998223
202,513,6984.128567822918,1332.279181998223
203,160,7633.664689382946,1332.279181998223
204,316,8283.200810942973,1332.279181998223
205,450,8932.736932503001,1332.279181998223
206,597,9582.27305406303,1332.279181998223
207,476,10231.809175623057,1332.279181998223
208,614,10881.345297183085,1332.279181998223
209,380,11530.881418743113,1332.279181998223
210,17,12180.41754030314,1332.279181998223
211,156,5035.520203142893,682.7430604379624
212,581,5685.05632470292,682.7430604379624
213,401,6334.59244626289,682.7430604379624
214,163,6984.128567822918,682.7430604379624
215,299,7633.664689382946,682.7430604379624
216,333,8283.200810942973,682.7430604379624
217,277,8932.736932503001,682.7430604379624
218,501,9582.27305406303,682.7430604379624
219,620,10231.809175623057,682.7430604379624
220,184,10881.345297183085,682.7430604379624
221,97,5035.520203142893,33.20693887770176
222,405,5685.05632470292,33.20693887770176
223,305,6334.59244626289,33.20693887770176
224,13,6984.128567822918,33.20693887770176
225,74,7633.664689382946,33.20693887770176
226,28,8283.200810942973,33.20693887770176
227,23,8932.736932503001,33.20693887770176
228,124,9582.27305406303,33.20693887770176
229,272,10231.809175623057,33.20693887770176
230,47,10881.345297183085,33.20693887770176
231,33,9582.27305406303,-616.3291826825589
