Sim	T1	W	k	Antigen_2016	MF_2016
30	0.0073402752680703995	0.4608124401420355	0.1919941463973373	8.462261076283047	1.8212841011483676
30	0.0073402752680703995	0.4608124401420355	0.1919941463973373	9.054160200777822	2.0748318868900513
31	0.008422699035145342	0.5565474558621645	0.2990349434316158	8.626827961105581	1.4317433580889671
31	0.008422699035145342	0.5565474558621645	0.2990349434316158	8.241117672916308	1.5442539609731858
31	0.008422699035145342	0.5565474558621645	0.2990349434316158	8.213787702240644	1.2702718190674485
31	0.008422699035145342	0.5565474558621645	0.2990349434316158	7.469681319101726	1.2223114885802824
31	0.008422699035145342	0.5565474558621645	0.2990349434316158	8.645334355240468	1.5999233569649358
32	0.007034976501017809	0.10279064532369375	0.15613457823637872	8.056826667177239	2.4890386566849836
32	0.007034976501017809	0.10279064532369375	0.15613457823637872	9.093515828108274	3.006958250497018
32	0.007034976501017809	0.10279064532369375	0.15613457823637872	8.484766990664259	2.439586614929502
32	0.007034976501017809	0.10279064532369375	0.15613457823637872	8.878396608209673	3.021776835613798
32	0.007034976501017809	0.10279064532369375	0.15613457823637872	8.716581642437959	2.6792221241993017
33	6.995886377990245e-4	0.4370833676308394	0.12373319738544523	2.4369233125311074	0.04020062023814082
33	6.995886377990245e-4	0.4370833676308394	0.12373319738544523	2.437102385208249	0.019220050356531935
33	6.995886377990245e-4	0.4370833676308394	0.12373319738544523	2.26755635432002	0.01911936217807774
33	6.995886377990245e-4	0.4370833676308394	0.12373319738544523	2.3080014544619445	0.015310125734407595
33	6.995886377990245e-4	0.4370833676308394	0.12373319738544523	2.349199049589944	0.026826090288955315
34	0.004805566803552211	0.48269509281963113	0.21999143930152057	5.654392234048652	0.6325122776174734
34	0.004805566803552211	0.48269509281963113	0.21999143930152057	5.129530702510196	0.6280276485342831
34	0.004805566803552211	0.48269509281963113	0.21999143930152057	5.71280932422346	0.8440029855887926
34	0.004805566803552211	0.48269509281963113	0.21999143930152057	5.325874554580635	0.6398712594352274
34	0.004805566803552211	0.48269509281963113	0.21999143930152057	5.461248943851294	0.5837621937168753
35	0.0019119645841419698	0.47178789004683497	0.039090864895842965	4.718049079990023	1.344998944722654
35	0.0019119645841419698	0.47178789004683497	0.039090864895842965	4.568128621311538	1.156901116611028
35	0.0019119645841419698	0.47178789004683497	0.039090864895842965	4.441970284485737	1.1882366491342573
35	0.0019119645841419698	0.47178789004683497	0.039090864895842965	4.591885624484946	1.2169646792771038
35	0.0019119645841419698	0.47178789004683497	0.039090864895842965	4.948647920913952	1.4617071200523137
36	0.00667545055737719	0.26928076315671207	0.07709217241499573	10.085063989577746	4.599969346310062
36	0.00667545055737719	0.26928076315671207	0.07709217241499573	11.17459830501975	4.94113586685585
36	0.00667545055737719	0.26928076315671207	0.07709217241499573	10.843512109067898	4.885812352591514
36	0.00667545055737719	0.26928076315671207	0.07709217241499573	10.661856421868704	4.705340523114121
36	0.00667545055737719	0.26928076315671207	0.07709217241499573	9.810466543891959	4.45633824432167
37	0.006407926552928984	0.6423386564478278	0.2027354960097	7.896962706651288	1.6993464052287581
37	0.006407926552928984	0.6423386564478278	0.2027354960097	7.345119197948953	1.5516779550759576
37	0.006407926552928984	0.6423386564478278	0.2027354960097	7.324589279867491	1.2981259991140388
37	0.006407926552928984	0.6423386564478278	0.2027354960097	7.4605451936872305	1.6145384983261595
37	0.006407926552928984	0.6423386564478278	0.2027354960097	7.988404238980188	1.6184149900168945
38	0.007384665249846876	0.3785523818805814	0.1353898752015084	9.968787698906612	3.2342071501062746
38	0.007384665249846876	0.3785523818805814	0.1353898752015084	10.3996314637798	3.3072286844024723
38	0.007384665249846876	0.3785523818805814	0.1353898752015084	10.353274390477283	3.668618670341026
38	0.007384665249846876	0.3785523818805814	0.1353898752015084	10.955648407252655	3.388661018898302
38	0.007384665249846876	0.3785523818805814	0.1353898752015084	10.307109802271771	3.3636746089417526
39	0.007361111820209772	0.12156507968902588	0.19284416225273163	9.004066600168802	2.530115859740658
39	0.007361111820209772	0.12156507968902588	0.19284416225273163	7.448771856389961	2.068151981582602
